Rank,Player,Country,Career Span,Matches,Innings,Balls,Runs,Wickets,Average,Economy,Strike Rate,4,5,Best Figures
1,M Muralidaran,SL,18,350,341,18811,12326,534,23.08,3.93,35.2,15,10,Jul-30
2,Wasim Akram,PAK,19,356,351,18186,11812,502,23.52,3.89,36.2,17,6,May-15
3,Waqar Younis,PAK,14,262,258,12698,9919,416,23.84,4.68,30.5,14,13,Jul-36
4,WPUJC Vaas,SL,14,322,320,15775,11014,400,27.53,4.18,39.4,9,4,Aug-19
5,Shahid Afridi,PAK,19,398,372,17670,13632,395,34.51,4.62,44.7,4,9,07-Dec
6,SM Pollock,SA,12,303,297,15712,9631,393,24.5,3.67,39.9,12,5,Jun-35
7,GD McGrath,AUS,14,250,248,12970,8391,381,22.02,3.88,34,9,7,Jul-15
8,B Lee,AUS,12,221,217,11185,8877,380,23.36,4.76,29.4,14,9,May-22
9,SL Malinga,SL,15,226,220,10936,9760,338,28.87,5.35,32.3,11,8,Jun-38
10,A Kumble,INDIA,17,271,265,14496,10412,337,30.89,4.3,43,8,2,06-Dec
11,ST Jayasuriya,SL,22,445,368,14874,11871,323,36.75,4.78,46,8,4,Jun-29
12,J Srinath,INDIA,12,229,227,11935,8847,315,28.08,4.44,37.8,7,3,May-23
13,DL Vettori,NZ,18,295,277,14060,9674,305,31.71,4.12,46,8,2,05-Jul
14,SK Warne,AUS,12,194,191,10642,7541,293,25.73,4.25,36.3,12,1,May-33
15,Saqlain Mushtaq,PAK,8,169,165,8770,6275,288,21.78,4.29,30.4,11,6,May-20
16,AB Agarkar,INDIA,9,191,188,9484,8021,288,27.85,5.07,32.9,10,2,Jun-42
17,Shakib Al Hasan,BAN,16,221,218,11351,8401,285,29.47,4.44,39.8,9,3,May-29
18,Z Khan,INDIA,12,200,197,10097,8301,282,29.43,4.93,35.8,7,1,May-42
19,JH Kallis,SA,18,328,283,10750,8680,273,31.79,4.84,39.3,2,2,May-30
20,AA Donald,SA,12,164,162,8561,5926,272,21.78,4.15,31.4,11,2,Jun-23
21,Mashrafe Mortaza,BAN,19,220,220,10922,8893,270,32.93,4.88,40.4,7,1,Jun-26
22,JM Anderson,ENG,13,194,191,9584,7861,269,29.22,4.92,35.6,11,2,May-23
23,Abdul Razzaq,PAK,15,265,254,10941,8564,269,31.83,4.69,40.6,8,3,Jun-35
24,Harbhajan Singh,INDIA,17,236,227,12479,8973,269,33.35,4.31,46.3,2,3,May-31
25,M Ntini,SA,11,173,171,8687,6559,266,24.65,4.53,32.6,8,4,Jun-22
26,N Kapil Dev,INDIA,16,225,221,11202,6945,253,27.45,3.71,44.2,3,1,May-43
27,Shoaib Akhtar,PAK,13,163,162,7764,6169,247,24.97,4.76,31.4,6,4,Jun-16
28,KD Mills,NZ,14,170,169,8230,6485,240,27.02,4.72,34.2,8,1,May-25
29,MG Johnson,AUS,10,153,150,7489,6038,239,25.26,4.83,31.3,9,3,Jun-31
30,HH Streak,ZIM,12,189,185,9468,7129,239,29.82,4.51,39.6,7,1,May-32
31,D Gough,ENG,12,159,156,8470,6209,235,26.42,4.39,36,10,2,May-44
32,CA Walsh,WI,15,205,204,10822,6918,227,30.47,3.83,47.6,6,1,05-Jan
33,CEL Ambrose,WI,12,176,175,9353,5429,225,24.12,3.48,41.5,6,4,May-17
34,Abdur Razzak,BAN,10,153,152,7965,6065,207,29.29,4.56,38.4,5,4,May-29
35,MA Starc,AUS,12,104,104,5342,4518,203,22.25,5.07,26.3,11,8,Jun-28
36,CJ McDermott,AUS,11,138,138,7461,5018,203,24.71,4.03,36.7,4,1,May-44
37,CZ Harris,NZ,14,250,232,10667,7613,203,37.5,4.28,52.5,2,1,May-42
38,CL Cairns,NZ,15,215,186,8168,6594,201,32.8,4.84,40.6,3,1,May-42
39,DJ Bravo,WI,10,164,150,6511,5874,199,29.51,5.41,32.7,6,1,Jun-43
40,KMDN Kulasekara,SL,14,184,181,8263,6751,199,33.92,4.9,41.5,4,1,May-22
41,TG Southee,NZ,14,147,145,7417,6705,198,33.86,5.42,37.4,5,3,Jul-33
42,DW Steyn,SA,14,125,124,6256,5087,196,25.95,4.87,31.9,4,3,Jun-39
43,BKV Prasad,INDIA,7,161,160,8129,6332,196,32.3,4.67,41.4,3,1,May-27
44,SR Waugh,AUS,16,325,207,8883,6761,195,34.67,4.56,45.5,3,0,Apr-33
45,CL Hooper,WI,16,227,203,9573,6958,193,36.05,4.36,49.6,3,0,Apr-34
46,L Klusener,SA,8,171,164,7336,5751,192,29.95,4.7,38.2,1,6,Jun-49
47,RA Jadeja,INDIA,13,171,166,8611,7062,189,37.36,4.92,45.5,7,1,May-36
48,M Morkel,SA,11,117,114,5760,4761,188,25.32,4.95,30.6,7,2,May-21
49,CRD Fernando,SL,11,147,141,6507,5648,187,30.2,5.2,34.7,3,1,Jun-27
50,TA Boult,NZ,10,98,98,5393,4459,185,24.1,4.96,29.1,10,5,Jul-34
51,Saeed Ajmal,PAK,7,113,112,6000,4182,184,22.72,4.18,32.6,6,2,May-24
52,Imran Khan,PAK,18,175,153,7461,4844,182,26.61,3.89,40.9,3,1,Jun-14
